group,angle_id_6,angle_id_7,max_rpm_id_0,max_rpm_id_1,influence,baseline,bias,baseline_corrected,influence_corrected,absolute_influence,relative_influence
72,-1.2209889891404608,0.6105945113445657,5800.0,5800.0,-8.268595241803174,-8.628030772043891,-0.8696205378912542,-7.758410234152636,-7.39897470391192,0.3594355302407166,-4.632850279796704
73,-2.313183310115037,0.6980314162540475,5800.0,5800.0,-8.502430946465248,-8.76172618251013,-0.8639900429376975,-7.897736139572432,-7.638440903527551,0.25929523604488125,-3.28315901496956
74,-2.1812609623568724,0.6980314162540475,5800.0,5800.0,-8.22532952889999,-8.589025146355901,-0.8433117449213459,-7.745713401434555,-7.382017783978645,0.3636956174559103,-4.695443771371035
75,-2.0508725953865925,0.6980314162540475,5800.0,5800.0,-8.482327573111721,-8.74015771771509,-0.8031672891298015,-7.93699042858529,-7.67916028398192,0.2578301446033695,-3.24846233497759
76,-1.9204842284163133,0.6980314162540475,5800.0,5800.0,-8.759874906797062,-8.691028672030336,-0.798821848325842,-7.892206823704495,-7.9610530584712205,-0.0688462347667258,0.8723318623625517
77,-1.788561880658148,0.6980314162540475,5800.0,5800.0,-8.870225627241078,-8.765429014523333,-0.8228078597658753,-7.9426211547574574,-8.047417767475203,-0.10479661271774532,1.3194210157559185
78,-1.6581735136878688,0.6980314162540475,5800.0,5800.0,-8.800409606025543,-8.717160790894113,-0.8403178710910905,-7.876842919803022,-7.960091734934452,-0.08324881513143012,1.0568804783720627
79,-1.527785146717589,0.6980314162540475,5800.0,5800.0,-8.54545753077826,-8.773936117792728,-0.8584595422307224,-7.915476575562005,-7.686997988547537,0.2284785870144681,-2.886479226277616
80,-1.395862798959424,0.6980314162540475,5800.0,5800.0,-8.459583510828258,-8.796738262671928,-0.8981285182489175,-7.898609744423011,-7.561454992579341,0.33715475184366994,-4.268532852654552
81,-1.2654744319891449,0.6980314162540475,5800.0,5800.0,-8.408651384127317,-8.861395914074798,-1.0310504413063422,-7.830345472768456,-7.377600942820975,0.4527445299474806,-5.781922796663155
82,-2.313183310115037,0.7854683211635289,5800.0,5800.0,-8.520901547289752,-8.785483022695756,-1.0023770862513752,-7.783105936444381,-7.518524461038377,0.2645814754060041,-3.3994330485353124
83,-2.1873968855084147,0.7854683211635289,5800.0,5800.0,-8.52762959965357,-8.931068789946677,-1.0222167108186362,-7.908852079128041,-7.505412888834934,0.40343919029310626,-5.101109317214412
84,-2.061610460901792,0.7854683211635289,5800.0,5800.0,-8.806129261409623,-8.91785111127892,-1.0296679163228506,-7.888183194956069,-7.776461345086773,0.11172184986929601,-1.416319158773267
85,-1.9358240362951695,0.7854683211635289,5800.0,5800.0,-9.003414799843535,-8.942256447666622,-0.9993649789914296,-7.942891468675192,-8.004049820852105,-0.061158352176912345,0.7699759265011467
86,-1.810037611688547,0.7854683211635289,5800.0,5800.0,-9.177353366587827,-9.002446935196554,-1.0039780888814,-7.998468846315154,-8.173375277706427,-0.17490643139127293,2.186748923474913
87,-1.68578516786981,0.7854683211635289,5800.0,5800.0,-8.979568027624039,-8.845716862978703,-1.0124547571787736,-7.833262105799929,-7.967113270445265,-0.13385116464533553,1.7087538095556514
88,-1.5599987432631877,0.7854683211635289,5800.0,5800.0,-8.737174681148566,-8.858877050020693,-1.0121310172347564,-7.846746032785937,-7.7250436639138105,0.1217023688721266,-1.550991562153528
89,-1.4342123186565652,0.7854683211635289,5800.0,5800.0,-8.638453871964108,-8.909291046627867,-1.0264903205832356,-7.882800726044632,-7.611963551380873,0.27083717466375923,-3.435798824254406
90,-2.0938240574473905,0.8729052260730104,5800.0,5800.0,-9.02227635597283,-9.10967002126629,-1.1995379201513228,-7.910132101114967,-7.822738435821507,0.08739366529345993,-1.1048319317087185
91,-1.963435690477111,0.8729052260730104,5800.0,5800.0,-9.10753021874052,-9.207845292379224,-1.150137468620583,-8.05770782375864,-7.957392750119936,0.10031507363870418,-1.244957943782959
92,-1.833047323506832,0.8729052260730104,5800.0,5800.0,-9.005703887050403,-9.13861339540447,-1.14374712106427,-7.9948662743401995,-7.861956765986133,0.13290950835406612,-1.6624356655050478
93,-1.7011249757486666,0.8729052260730104,5800.0,5800.0,-9.011709254265199,-9.064543721567444,-1.1394577886472115,-7.925085932920233,-7.872251465617987,0.052834467302245613,-0.6666737464987612
94,-1.570736608778387,0.8729052260730104,5800.0,5800.0,-8.773548912370195,-9.06301645584428,-1.161589244399717,-7.901427211444564,-7.611959667970479,0.28946754347408543,-3.6634842760408604
95,-1.4403482418081075,0.8729052260730104,5800.0,5800.0,-8.685451349520813,-8.926201639076075,-1.1527836436365606,-7.773417995439514,-7.532667705884252,0.2407502895552618,-3.0970969230846
96,-1.3084258940499425,0.8729052260730104,5800.0,5800.0,-8.73560358997816,-9.109574419057036,-1.300599096591274,-7.808975322465763,-7.435004493386886,0.3739708290788766,-4.788987205568368
97,-2.3561347721758352,0.9603421309824922,5800.0,5800.0,-9.010209420027445,-9.217121926513878,-1.3168258771152626,-7.900296049398615,-7.693383542912183,0.20691250648643233,-2.6190475039499677
98,-2.2303483475692127,0.9603421309824922,5800.0,5800.0,-8.928127484377256,-9.2050684971839,-1.3035942210108822,-7.901474276173018,-7.6245332633663745,0.2769410128066436,-3.504928360543579
99,-2.1045619229625903,0.9603421309824922,5800.0,5800.0,-8.908432802797149,-9.130175959800695,-1.325932043256814,-7.804243916543881,-7.582500759540335,0.2217431570035462,-2.8413150508210334
100,-1.9803094791438527,0.9603421309824922,5800.0,5800.0,-8.948367338258377,-9.1727729403357,-1.3058677936125103,-7.866905146723189,-7.642499544645867,0.22440560207732219,-2.852527110623599
101,-1.8545230545372309,0.9603421309824922,5800.0,5800.0,-8.983662384579219,-9.179599106742378,-1.2757183171689108,-7.903880789573467,-7.707944067410308,0.19593672216315916,-2.4789938940075142
102,-1.7287366299306082,0.9603421309824922,5800.0,5800.0,-8.95813632077275,-9.099347987036774,-1.3006836781123032,-7.7986643089244705,-7.657452642660447,0.1412116662640237,-1.810716049188409
103,-1.6029502053239857,0.9603421309824922,5800.0,5800.0,-8.855557087631727,-9.282490728786156,-1.2901650989015319,-7.992325629884624,-7.565391988730195,0.4269336411544291,-5.341794878302428
104,-1.4786977615052486,0.9603421309824922,5800.0,5800.0,-8.718916981935594,-9.230519114611406,-1.3104494636155497,-7.920069650995856,-7.408467518320045,0.5116021326758116,-6.45956607984481
105,-1.352911336898626,0.9603421309824922,5800.0,5800.0,-9.047210786213189,-9.155633847287241,-1.4595090350553868,-7.696124812231854,-7.587701751157802,0.10842306107405264,-1.408800710998478
106,-2.3561347721758352,1.0477790358919736,5800.0,5800.0,-9.211859949882115,-9.352184229944424,-1.465362826336262,-7.886821403608161,-7.746497123545852,0.14032428006230901,-1.7792247710606417
107,-2.236484270720755,1.0477790358919736,5800.0,5800.0,-9.174176096684725,-9.303260875968974,-1.4764717873998272,-7.8267890885691465,-7.697704309284898,0.12908477928424844,-1.649268656961434
108,-2.116833769265676,1.0477790358919736,5800.0,5800.0,-9.039343511264148,-9.370538148191786,-1.475127591995573,-7.895410556196213,-7.564215919268575,0.33119463692763773,-4.194774097817125
109,-1.9956492870227096,1.0477790358919736,5800.0,5800.0,-9.055822376535945,-9.393396720737991,-1.4527270022343581,-7.940669718503633,-7.603095374301587,0.33757434420204646,-4.251207469508757
110,-1.8759987855676297,1.0477790358919736,5800.0,5800.0,-8.968180513119341,-9.31719211838148,-1.4336553168172637,-7.883536801564215,-7.534525196302077,0.34901160526213815,-4.427094260445247
111,-1.7563482841125495,1.0477790358919736,5800.0,5800.0,-8.945548159868174,-9.389465493437429,-1.4366684049086456,-7.952797088528784,-7.508879754959529,0.4439173335692548,-5.581901922401199
112,-1.6366977826574698,1.0477790358919736,5800.0,5800.0,-8.73190657808909,-9.232793025278674,-1.40526980743707,-7.8275232178416045,-7.32663677065202,0.5008864471895844,-6.399041347432771
113,-1.5155133004145038,1.0477790358919736,5800.0,5800.0,-8.737384915862698,-9.315529140536391,-1.4224610119160586,-7.893068128620333,-7.31492390394664,0.578144224673693,-7.324708405560787
